date_day,Open,High,Low,Close,Adj Close,Volume,avg_sentiment,sentiment_std,tweet_volume,pct_positive,pct_negative,pct_neutral,daily_return,price_range,volume_change,target_return,target_direction,target_price,close_lag1,return_lag1,sentiment_lag1,volume_lag1,close_lag2,return_lag2,sentiment_lag2,volume_lag2,close_lag3,return_lag3,sentiment_lag3,volume_lag3,close_ma3,return_ma3,sent_ma3,vol_ma3,close_ma7,return_ma7,sent_ma7,vol_ma7,close_ma14,return_ma14,sent_ma14,vol_ma14,volatility_7d,volatility_14d,sentiment_change,tweet_volume_change,coin
2021-02-19,1938.859863,1969.546997,1896.684448,1960.164795,1960.164795,26268814253.0,0.1762021123260437,0.3644649703114858,4024.0,0.4480616302186879,0.1292246520874751,0.422713717693837,0.01172447555127376,0.03717164454022344,-0.07032472889576624,-0.02072822504701699,0,1919.534058,1937.449219,0.04814334697779277,0.1777624677336086,1937.0,1848.458252,0.03783727837985573,0.1604999278499278,2772.0,1781.067505,0.0007172128573100789,0.1604999278499278,2772.0,1915.357422,0.03256836696964075,0.1714881693031934,2911.0,1846.5892508571428,0.009067841818054725,0.170694473284584,2662.5714285714284,1793.1732264999998,0.009914317094424927,0.1741859870022147,2968.1428571428573,0.02512519786551039,0.032441526866057675,-0.001560355407564884,1.0774393391843056,ETH
2021-02-20,1959.902954,2036.286499,1830.531494,1919.534058,1919.534058,34696091102.0,0.1762021123260437,0.3644649703114858,4024.0,0.4480616302186879,0.1292246520874751,0.422713717693837,-0.02072822504701699,0.10719007779126365,0.32080918338510744,0.00837026878113356,1,1935.601074,1960.164795,0.01172447555127376,0.1762021123260437,4024.0,1937.449219,0.04814334697779277,0.1777624677336086,1937.0,1848.458252,0.03783727837985573,0.1604999278499278,2772.0,1939.0493573333333,0.013046532494016513,0.176722230795232,3328.3333333333335,1861.6498501428573,0.008386662922509098,0.17049501427989713,2998.5714285714284,1810.4366019285715,0.010129581240860204,0.17467069746532313,3067.785714285714,0.025967349598536152,0.032210197613770815,0.0,0.0,ETH
2021-02-21,1918.673096,1974.259644,1890.368164,1935.601074,1935.601074,23626547717.0,0.1762021123260437,0.3644649703114858,4024.0,0.4480616302186879,0.1292246520874751,0.422713717693837,0.00837026878113356,0.0433413068048339,-0.3190429536415966,-0.07935940729902691,0,1781.99292,1919.534058,-0.02072822504701699,0.1762021123260437,4024.0,1960.164795,0.01172447555127376,0.1762021123260437,4024.0,1937.449219,0.04814334697779277,0.1777624677336086,1937.0,1938.433309,-0.00021116023820322294,0.1762021123260437,4024.0,1880.2951312857142,0.010293174023990532,0.16969551260878904,3189.285714285714,1833.391837,0.013435819059377312,0.17474538208926568,3196.0,0.02530426168315033,0.029127091876809688,0.0,0.0,ETH
2021-02-22,1935.557861,1936.453735,1580.626587,1781.99292,1781.99292,42409646036.0,0.1161139644175898,0.3875580517616062,2979.0,0.4014770057066129,0.2027526015441423,0.3957703927492447,-0.07935940729902691,0.1996793275699435,0.7949996988127472,-0.11884948510345372,0,1570.203979,1935.601074,0.00837026878113356,0.1762021123260437,4024.0,1919.534058,-0.02072822504701699,0.1762021123260437,4024.0,1960.164795,0.01172447555127376,0.1762021123260437,4024.0,1879.042684,-0.030572454521636778,0.1561727296898924,3675.6666666666665,1880.6096890000001,0.000957850028760286,0.1633546606898836,3218.8571428571427,1835.9187012142859,0.0019091577025244064,0.16947538922442015,3061.8571428571427,0.0421873462818569,0.03171622955277484,-0.06008814790845392,-0.2596918489065606,ETH
2021-02-23,1781.409058,1781.409058,1378.840942,1570.203979,1570.203979,52029864713.0,0.1161139644175898,0.3875580517616062,2979.0,0.4014770057066129,0.2027526015441423,0.3957703927492447,-0.11884948510345372,0.256379503162627,0.22684034355848537,0.035900880238439514,1,1626.575684,1781.99292,-0.07935940729902691,0.1161139644175898,2979.0,1935.601074,0.00837026878113356,0.1762021123260437,4024.0,1919.534058,-0.02072822504701699,0.1762021123260437,4024.0,1762.5993243333332,-0.0632795412071157,0.1361433470537411,3327.3333333333335,1850.486328142857,-0.0161231068227774,0.15701380877097817,3248.4285714285716,1821.7879115714288,-0.007455997350192589,0.16518634913823524,3002.8571428571427,0.061900537362123045,0.04499958827590951,0.0,0.0,ETH
2021-02-24,1571.47644,1710.983765,1511.018921,1626.575684,1626.575684,31329000537.0,0.1161139644175898,0.3875580517616062,2979.0,0.4014770057066129,0.2027526015441423,0.3957703927492447,0.035900880238439514,0.12293608343403704,-0.3978650394381624,-0.09275433690794055,0,1475.703735,1570.203979,-0.11884948510345372,0.1161139644175898,2979.0,1781.99292,-0.07935940729902691,0.1161139644175898,2979.0,1935.601074,0.00837026878113356,0.1762021123260437,4024.0,1659.590861,-0.054102670721347036,0.1161139644175898,2979.0,1818.7888184285714,-0.016399735128694002,0.15067295685207274,3278.0,1813.3830741428571,-0.003930467662680459,0.16078697941911216,2991.9285714285716,0.06162290638811353,0.04640484028835464,0.0,0.0,ETH
2021-02-25,1625.393921,1670.224121,1465.05896,1475.703735,1475.703735,24481681873.0,0.1161139644175898,0.3875580517616062,2979.0,0.4014770057066129,0.2027526015441423,0.3957703927492447,-0.09275433690794055,0.1390286926393121,-0.2185616695915089,-0.020105691472008025,0,1446.033691,1626.575684,0.035900880238439514,0.1161139644175898,2979.0,1570.203979,-0.11884948510345372,0.1161139644175898,2979.0,1781.99292,-0.07935940729902691,0.1161139644175898,2979.0,1557.494466,-0.05856764725765159,0.1161139644175898,2979.0,1752.8251778571428,-0.036527975683798765,0.1418660278069272,3426.8571428571427,1791.3763427857143,-0.012175577826271568,0.15638760969998908,2981.0,0.06001734310522626,0.05130923243412827,0.0,0.0,ETH
2021-02-26,1478.65332,1559.028931,1407.979248,1446.033691,1446.033691,31435997881.0,0.134911811023622,0.3921820571941576,1397.0,0.4209019327129563,0.1875447387258411,0.3915533285612025,-0.020105691472008025,0.10445792787548541,0.2840620200881572,0.009639785080221897,1,1459.973145,1475.703735,-0.09275433690794055,0.1161139644175898,2979.0,1626.575684,0.035900880238439514,0.1161139644175898,2979.0,1570.203979,-0.11884948510345372,0.1161139644175898,2979.0,1516.10437,-0.02565304938050302,0.1223799132862672,2451.6666666666665,1679.3778772857145,-0.04107514240141045,0.13596741333515266,3051.5714285714284,1762.9835640714286,-0.01600365029167786,0.15333094330986835,2857.0714285714284,0.05687580641611187,0.049611501126329914,0.018797846606032217,-0.531050688150386,ETH
2021-02-27,1446.929443,1524.932373,1433.786987,1459.973145,1459.973145,20742103233.0,0.134911811023622,0.3921820571941576,1397.0,0.4209019327129563,0.1875447387258411,0.3915533285612025,0.009639785080221897,0.06242949489320925,-0.3401799010319764,-0.0300856184584134,0,1416.04895,1446.033691,-0.020105691472008025,0.134911811023622,1397.0,1475.703735,-0.09275433690794055,0.1161139644175898,2979.0,1626.575684,0.035900880238439514,0.1161139644175898,2979.0,1460.5701903333331,-0.03440674776657556,0.12864586215494458,1924.3333333333333,1613.7263182857143,-0.03673685524037632,0.13006879886337813,2676.285714285714,1737.6880842142857,-0.014175096158933611,0.15028190657163765,2837.4285714285716,0.059770959793891194,0.05008276757146053,0.0,0.0,ETH
2021-02-28,1459.860474,1468.391479,1300.472168,1416.04895,1416.04895,27637026080.0,0.134911811023622,0.3921820571941576,1397.0,0.4209019327129563,0.1875447387258411,0.3915533285612025,-0.0300856184584134,0.11858298471956062,0.3324119434537576,0.10498132285610606,1,1564.707642,1459.973145,0.009639785080221897,0.134911811023622,1397.0,1446.033691,-0.020105691472008025,0.134911811023622,1397.0,1475.703735,-0.09275433690794055,0.1161139644175898,2979.0,1440.685262,-0.01351717495006651,0.134911811023622,1397.0,1539.5045862857144,-0.04223055341745446,0.12417018439160359,2301.0,1709.8998587857145,-0.01596868969673196,0.14693284850019633,2745.1428571428573,0.05661820538146982,0.05017749866906105,0.0,0.0,ETH
