date_day,avg_sentiment,sentiment_std,tweet_volume,pct_positive,pct_negative,pct_neutral
2021-02-05,0.1473758361774744,0.36858511347782275,1465,0.40546075085324235,0.13378839590443686,0.46075085324232085
2021-02-06,0.16941616584252567,0.35273378738816946,2629,0.4111829593001141,0.11259033853176112,0.47622670216812474
2021-02-07,0.1751565275908479,0.3645342009980309,2229,0.41498429789143115,0.1247196052041274,0.46029609690444145
2021-02-08,0.1898938645254272,0.3564580636026121,4857,0.4642783611282685,0.11941527691990941,0.41630636195182213
2021-02-09,0.17616052562417872,0.3636748659095939,3805,0.44126149802890935,0.12588699080157686,0.4328515111695138
2021-02-10,0.17770514048531288,0.3669331546088601,3132,0.4284802043422733,0.12867177522349937,0.44284802043422733
2021-02-13,0.17759832535885167,0.37494186959406434,1672,0.43899521531100477,0.13456937799043062,0.4264354066985646
2021-02-14,0.18179862402380068,0.3765187253379306,2689,0.4291558200074377,0.12978802528821123,0.44105615470435106
2021-02-15,0.16049992784992784,0.39145988913259805,2772,0.4393939393939394,0.16233766233766234,0.39826839826839827
2021-02-18,0.17776246773360868,0.36845437837947603,1937,0.43933918430562724,0.13216313887454828,0.4284976768198245
2021-02-19,0.1762021123260437,0.36446497031148584,4024,0.4480616302186879,0.12922465208747516,0.422713717693837
2021-02-22,0.1161139644175898,0.38755805176160624,2979,0.40147700570661293,0.20275260154414232,0.3957703927492447
2021-02-28,0.13491181102362204,0.39218205719415766,1397,0.42090193271295634,0.1875447387258411,0.39155332856120256
2021-03-11,0.15948349514563107,0.3951873029453095,206,0.4223300970873786,0.16990291262135923,0.4077669902912621
2021-03-12,0.1280175974403723,0.3807885785820196,3438,0.39267015706806285,0.17277486910994763,0.43455497382198954
2021-04-05,0.1837225857519789,0.3619255212207963,1895,0.42110817941952505,0.10395778364116096,0.47493403693931396
2021-04-06,0.1772551515151515,0.3568967348688134,3135,0.4149920255183413,0.10845295055821372,0.47655502392344495
2021-04-07,0.15308339393939394,0.3598444436872943,3300,0.3881818181818182,0.12454545454545454,0.48727272727272725
2021-04-08,0.17232164846077458,0.3664387361425627,3021,0.42204568023833167,0.1267792121813969,0.4511751075802714
2021-04-09,0.16198298800436206,0.36255579577310365,2751,0.42093784078516905,0.13304252998909488,0.44601962922573607
2021-04-10,0.17349142091152817,0.36204665458092916,3357,0.42180518319928506,0.11766458147155198,0.46053023532916293
2021-04-11,0.19858506271379703,0.3669704608207961,1754,0.4566704675028506,0.10661345496009123,0.43671607753705816
2021-04-12,0.1676700346420323,0.3502436407866602,1732,0.41916859122401845,0.12009237875288684,0.4607390300230947
2021-04-17,0.2569241877256318,0.4092219252273116,277,0.5054151624548736,0.1263537906137184,0.36823104693140796
2021-04-18,0.12982675888385406,0.4314524415529011,4193,0.422847603148104,0.21011209158120678,0.36704030527068926
2021-04-19,0.16081500559910414,0.41353986128065096,3572,0.4420492721164614,0.16769316909294513,0.3902575587905935
2021-04-20,0.16113832335329342,0.3989573679967009,3841,0.42462900286383753,0.1585524602967977,0.41681853683936476
2021-04-21,0.16250462457781242,0.3961396089132181,3849,0.41517277214861004,0.15224733697064172,0.4325798908807482
2021-04-22,0.1338684116331096,0.40073499749123925,4470,0.4268456375838926,0.19015659955257272,0.38299776286353465
2021-04-23,0.1367215402658327,0.4286785348232786,5116,0.4454652071931196,0.21462079749804536,0.33991399530883504
2021-04-24,0.1771641857862339,0.4190644011860086,3574,0.4834918858421936,0.17543368774482374,0.34107442641298263
2021-05-25,0.17010308590492076,0.40029703557026586,2398,0.4699749791492911,0.15638031693077564,0.37364470391993326
2021-05-26,0.1441382046423496,0.3967564748953431,4222,0.4369966840360019,0.1707721459024159,0.3922311700615822
2021-05-27,0.1528430037817396,0.3972557505179608,3702,0.42652620205294434,0.16261480280929227,0.41085899513776336
2021-05-28,0.13354858058608057,0.4137166906546302,4368,0.44368131868131866,0.20032051282051283,0.3559981684981685
2021-05-29,0.12136376433785193,0.4177269535527294,3836,0.42283628779979143,0.1986444212721585,0.37851929092805003
2021-06-20,0.2257796859936648,0.4581747091670835,7261,0.5281641647156039,0.18771519074507645,0.2841206445393197
2021-06-21,0.1783955566847335,0.4749376905184066,35424,0.49867321589882563,0.22820686540198734,0.273119918699187
2021-06-22,0.1722483848125992,0.4613517615189469,40955,0.48672933707727994,0.21955805151996094,0.2937126114027591
2021-06-23,0.23179128108906544,0.4515448015089024,25049,0.5360293824104755,0.17936843786179088,0.28460217972773366
2021-07-02,0.22985961776033717,0.4423366272390387,13761,0.5276506067872975,0.17404258411452656,0.29830680909817603
2021-07-03,0.2583224880895027,0.4591977324955509,18681,0.5518441196938065,0.17070820619881164,0.27744767410738186
2021-07-04,0.28881910281176215,0.43830273724044394,18636,0.5818845245760893,0.14713457823567289,0.2709808971882378
2021-07-05,0.27192284724200133,0.4466415829721378,21066,0.5699705686888825,0.1615399221494351,0.26848950916168235
2021-07-16,0.13630607521697205,0.47132243422071024,1037,0.4918032786885246,0.2507232401157184,0.25747348119575697
2021-07-17,0.22343656103286386,0.45700336783544576,11928,0.5263246143527833,0.1919852448021462,0.28169014084507044
2021-07-18,0.27258724317860633,0.46468732379504,18398,0.559680400043483,0.17219262963365584,0.2681269703228612
2021-07-19,0.2318724955357143,0.46410756577125717,22400,0.5325446428571429,0.18950892857142856,0.2779464285714286
2021-07-20,0.17851587442904698,0.4564016940751416,25834,0.48273592939537047,0.21742664705426956,0.29983742355035997
2021-07-21,0.22657237741502542,0.441869160588044,32039,0.5235182121789069,0.16923124941477574,0.3072505384063173
2021-07-22,0.2629966669347057,0.4456668513209818,24872,0.5574943711804439,0.1557976841428112,0.28670794467674493
2021-07-23,0.27246934175423315,0.43907639296993856,36734,0.5540099090760603,0.14602275820765503,0.2999673327162846
2021-07-24,0.2830740530732592,0.4451396576851629,26454,0.5652075300521661,0.1480305435850911,0.2867619263627429
2021-07-25,0.2845799294610382,0.43567262338846663,9073,0.5645321282927367,0.13589771850545576,0.2995701532018076
2021-07-26,0.3231179751376606,0.42271496796228536,23972,0.6221842149174036,0.1220590689137327,0.2557567161688637
2021-07-27,0.2599707756232687,0.4343553055038946,10830,0.5528162511542013,0.14321329639889196,0.30397045244690674
2021-07-28,0.25762013095903535,0.4251787371586006,12523,0.5362932204743273,0.13567036652559292,0.32803641300007985
2021-07-29,0.3229201730971447,0.4317289916881912,12363,0.5964571705896627,0.1156677181913775,0.2878751112189598
2021-07-30,0.2526844486606425,0.43747521462885985,31097,0.5381548059298324,0.152876483262051,0.30896871080811655
2021-08-04,0.22505750915750916,0.4334883210631978,1365,0.5025641025641026,0.15897435897435896,0.3384615384615385
2021-08-05,0.2541344591750842,0.4198028174936031,9504,0.5346170033670034,0.13920454545454544,0.3261784511784512
2021-08-06,0.293276872909699,0.4216036265179128,11960,0.5750836120401338,0.12357859531772575,0.30133779264214045
2021-08-07,0.27531685382286886,0.42966997139599566,10241,0.5566839175861732,0.1333854115809003,0.30993067083292647
2021-08-08,0.27578239754940415,0.4409841956686899,26769,0.5616571407224775,0.14576562441630245,0.29257723486122006
2021-08-09,0.29670299025900476,0.4464512610649267,39729,0.5809861813788416,0.14332099977346524,0.27569281884769314
2021-08-14,0.29651415904159983,0.4542759642120893,10601,0.5780586737100274,0.15272144137345534,0.2692198849165173
2021-08-15,0.2860104418836014,0.4542102957838737,24124,0.5687282374398939,0.1507212734206599,0.2805504891394462
2021-08-16,0.28781172674507405,0.4435374649246597,26188,0.5714831220406293,0.14036963494730412,0.2881472430120666
2021-08-17,0.2877135171364394,0.44598553805623686,27602,0.5734367074849649,0.14575030794869936,0.2808129845663358
2021-08-18,0.3097290141330576,0.4486668232412442,29010,0.590865218890038,0.13933126508100654,0.2698035160289555
2021-08-19,0.26783494982078854,0.43975571945694897,27900,0.5512903225806451,0.15293906810035843,0.2957706093189964
2021-08-20,0.27062053844018874,0.43387897032404377,32427,0.5451629814660622,0.13760138156474544,0.3172356369691923
2021-08-21,0.2642147306305322,0.4370570790865964,9151,0.5469347612282811,0.15025680253524204,0.3028084362364769
2021-08-23,0.23744221449275363,0.43405572450533,8625,0.536,0.16394202898550725,0.3000579710144928
2021-08-24,0.2483209824828637,0.4387857045979004,21008,0.5361766945925361,0.1617955064737243,0.30202779893373954
2021-08-25,0.31360925537493445,0.44743494708245474,30512,0.5986824855794441,0.13892894598846356,0.2623885684320923
2021-08-26,0.2923866060911997,0.4491420896233606,29715,0.572572774692916,0.14581861012956418,0.2816086151775198
2021-09-10,0.2408472522763792,0.4574551957063569,18670,0.5416175682913765,0.17803963577932513,0.28034279592929834
2021-10-18,0.25744926108374383,0.43149184328539164,17864,0.5323555754590238,0.1412897447380206,0.3263546798029557
